Key,Id,Shared Comments,English(en),English(en) Comments,Russian(ru),Russian(ru) Comments
"scan.progress",1399840768,"","SCANNING {0}%","","СКАНИРОВАНИЕ {0}%",""
"scan.progress_mixed_case",1429200896,"","Progress - {0}%","","Прогресс — {0}%",""
"scan.start",1429200897,"","START SCAN","","НАЧАТЬ СКАНИРОВАНИЕ",""
"scan.known_item",1429200898,"","KNOWN ITEM","","ИЗВЕСТНЫЙ ПРЕДМЕТ",""
"scan.scanned",1429200899,"","SCANNED","","ОТСКАНИРОВАНО",""
"inventory.select_item",1429200902,"","SELECT AN ITEM","","ВЫБЕРИТЕ ПРЕДМЕТ",""
"laboratory.status.ready",1429200903,"","Laboratory ready.","","Лаборатория готова.",""
"laboratory.status.paused_stopped",1429200904,"","Scanning paused — the laboratory is offline.","","Сканирование приостановлено — лаборатория остановлена.",""
"laboratory.status.paused_energy",1429200905,"","Scanning paused — the station does not have enough power.","","Сканирование приостановлено — недостаточно энергии станции.",""
"laboratory.status.analysis_not_required",1429200906,"","This item does not require analysis.","","Этот предмет не требует анализа.",""
"laboratory.status.scanning_item",1429200907,"","Scanning {0}...","","Сканирование: {0}...",""
"laboratory.status.stopped_from_terminal",1429200908,"","The laboratory was shut down from the station terminal.","","Лаборатория остановлена с терминала станции.",""
"laboratory.status.already_identified",1429200909,"","This item is already identified and does not require analysis.","","Этот предмет уже опознан и не требует анализа.",""
"laboratory.status.already_scanned",1429200910,"","{0} is already scanned.","","Предмет «{0}» уже отсканирован.",""
"laboratory.status.insufficient_energy",1429200911,"","Insufficient station energy.","","Недостаточно энергии станции.",""
"laboratory.status.insufficient_power",1429200912,"","Insufficient station power.","","Питание станции недоступно.",""
"laboratory.status.sample_already_scanned",1429200913,"","This sample is already scanned.","","Этот образец уже отсканирован.",""
"laboratory.status.analysis_complete",1429200914,"","Analysis complete: {0}","","Анализ завершён: {0}",""
"laboratory.status.sample_complete",1429200915,"","Sample scan complete: {0}","","Сканирование образца завершено: {0}",""
"laboratory.status.no_inventory_slot",1429200916,"","No free inventory slot for this sample.","","Для этого образца нет свободной ячейки инвентаря.",""
"laboratory.status.known_type_requires_scan",1429200917,"","Item type identified: {0}. This sample still needs to be scanned.","","Тип «{0}» известен. Этот образец всё ещё нужно отсканировать.",""
"laboratory.status.loaded_ready",1429200918,"","{0} loaded. Ready for scanning.","","Загружено: {0}. Можно начинать сканирование.",""
"ui.prefab.p_hud_inventoryhint",7685672470044672,"","INVENTORY [TAB]","","ИНВЕНТАРЬ [TAB]",""
"ui.prefab.p_hud_canvas_gameplayhudcanvas_inventoryhint",7685673124356096,"","INVENTORY [TAB]","","ИНВЕНТАРЬ [TAB]",""
"ui.prefab.p_hud_canvas_modalcanvas_inventoryscreen_dropbutton_text_drop",7685673124356097,"","DROP","","ВЫБРОСИТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_exitbutton_exit",7685673124356098,"","EXIT","","ВЫХОД",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_scanmapbutton_text_scan",7685673124356100,"","SCAN","","СКАНИРОВАТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_upgrademapbutton_text_upgrade",7685673124356101,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_scanscreen_background_screen_storage_slot_scanbutton_text_scan",7685673124356102,"","SCAN","","СКАНИРОВАТЬ",""
"ui.prefab.p_hud_canvas_modalcanvas_laboratoryscreen_scanscreen_background_screen_storage_slot_dropbutton_text_drop",7685673124356103,"","DROP","","ВЫБРОСИТЬ",""
