Key,Id,Shared Comments,English(en),English(en) Comments,Russian(ru),Russian(ru) Comments
"save.select_new_slot",3983532032,"","SELECT A SAVE SLOT","","ВЫБЕРИТЕ ЯЧЕЙКУ СОХРАНЕНИЯ",""
"save.select_existing_slot",4012892160,"","SELECT A GAME SAVE","","ВЫБЕРИТЕ СОХРАНЕНИЕ",""
"save.completion",4012892161,"","{0}% COMPLETE","","ПРОЙДЕНО: {0}%",""
"save.date_format",4017086464,"","MM.dd.yyyy - HH:mm","","dd.MM.yyyy - HH:mm",""
"options.language",4017086465,"","LANGUAGE: {0}","","ЯЗЫК: {0}",""
"ui.boot.canvas_panel_optionsscreen_background_screen_station_continuebutton_text_tmp",6739189760,"","CONTINUE","","ПРОДОЛЖИТЬ",""
"ui.boot.canvas_panel_continuescreen_background_screen_station_background_overwrite_slot_description_text",6739189761,"","OVERWRITE SLOT","","ПЕРЕЗАПИСАТЬ СОХРАНЕНИЕ",""
"ui.boot.canvas_panel_continuescreen_background_screen_station_background_overwrite_slot_yesbutton_text_tmp",6739189762,"","YES","","ДА",""
"ui.boot.canvas_panel_optionsscreen_background_screen_station_description_text",6739189763,"","OPTIONS","","НАСТРОЙКИ",""
"ui.boot.canvas_panel_continuescreen_background_screen_station_continuebutton_text_tmp",6747578368,"","CONTINUE","","ПРОДОЛЖИТЬ",""
"ui.boot.canvas_panel_optionsscreen_background_screen_station_closebutton_text_tmp",6747578369,"","CLOSE","","ЗАКРЫТЬ",""
"ui.boot.canvas_panel_exitscreen_background_exit_yesbutton_text_tmp",6747578370,"","YES","","ДА",""
"ui.boot.canvas_panel_continuescreen_background_screen_station_background_overwrite_slot_nobutton_text_tmp",6747578371,"","NO","","НЕТ",""
"ui.boot.canvas_panel_exitscreen_background_exit_nobutton_text_tmp",6751772672,"","NO","","НЕТ",""
"ui.boot.canvas_panel_rootbutton_optionsbutton_text_tmp",6751772673,"","OPTIONS","","НАСТРОЙКИ",""
"ui.boot.canvas_panel_continuescreen_background_screen_station_closebutton_text_tmp",6751772674,"","CLOSE","","ЗАКРЫТЬ",""
"ui.boot.canvas_panel_exitscreen_background_exit_description_text",6751772675,"","EXIT","","ВЫХОД",""
"ui.boot.canvas_panel_rootbutton_exitbutton_text_tmp",6755966976,"","EXIT","","ВЫХОД",""
"ui.boot.canvas_panel_continuescreen_background_screen_station_description_text",6755966977,"","SELECT A GAME SAVE","","ВЫБЕРИТЕ СОХРАНЕНИЕ",""
"ui.boot.canvas_panel_rootbutton_newgamebutton_text_tmp",6755966978,"","NEW GAME","","НОВАЯ ИГРА",""
"ui.boot.canvas_panel_rootbutton_continuebutton_text_tmp",6755966979,"","CONTINUE","","ПРОДОЛЖИТЬ",""
"save.empty",6755966980,"","EMPTY","","ПУСТО",""
"options.language_shortcut",4300279775223808,"","[F8] LANGUAGE: {0}","","[F8] ЯЗЫК: {0}",""
