Key,Id,Shared Comments,English(en),English(en) Comments,Russian(ru),Russian(ru) Comments
"station.select_object",1857019904,"","SELECT STATION OBJECT","","ВЫБЕРИТЕ ОБЪЕКТ СТАНЦИИ",""
"station.select_object_hint",1886380032,"","Select an object in the 3D station preview.","","Выберите объект на трёхмерной модели станции.",""
"station.power.low",1886380034,"","Low Power","","Мало энергии",""
"station.power.active",1886380035,"","Active","","Активно",""
"station.power.inactive",1886380036,"","Inactive","","Неактивно",""
"station.no_object_selected",1886380037,"","NO OBJECT SELECTED","","ОБЪЕКТ НЕ ВЫБРАН",""
"map.travel_confirmation",1886380051,"","Travel to {0}?","","Переместиться в локацию «{0}»?",""
"map.select_sector",1886380052,"","Select a sector on the 3D map.","","Выберите сектор на трёхмерной карте.",""
"map.drone_target",1886380053,"","DRONE TARGET
{0}","","ЦЕЛЬ ДРОНА
{0}",""
"map.drone_unavailable",1886380054,"","DRONE UNAVAILABLE","","ДРОН НЕДОСТУПЕН",""
"map.scanning",1886380055,"","SCANNING {0}%","","СКАНИРОВАНИЕ {0}%",""
"map.recharging",1886380056,"","RECHARGING {0}s","","ПЕРЕЗАРЯДКА {0} с",""
"map.signal_found",1886380057,"","SIGNAL FOUND
{0}","","СИГНАЛ ОБНАРУЖЕН
{0}",""
"map.antenna_hint",1886380058,"","ANTENNA
Calibrate to reveal a hidden signal on an opened sector.","","АНТЕННА
Выполните калибровку, чтобы обнаружить скрытый сигнал в открытом секторе.",""
"map.antenna_unavailable",1886380059,"","ANTENNA UNAVAILABLE","","АНТЕННА НЕДОСТУПНА",""
"map.calibrating",1886380060,"","CALIBRATING {0}%","","КАЛИБРОВКА {0}%",""
"map.state.idle",1886380061,"","IDLE","","ОЖИДАНИЕ",""
"map.state.scanning",1886380062,"","SCANNING","","СКАНИРОВАНИЕ",""
"map.state.returning",1886380063,"","RETURNING","","ВОЗВРАЩЕНИЕ",""
"map.state.charging",1886380064,"","CHARGING","","ЗАРЯДКА",""
"map.state.ready",1886380065,"","READY","","ГОТОВО",""
"map.state.calibrating",1886380066,"","CALIBRATING","","КАЛИБРОВКА",""
"map.state.signalfound",1886380067,"","SIGNALFOUND","","СИГНАЛ НАЙДЕН",""
"map.state.locked",1886380068,"","LOCKED","","ЗАБЛОКИРОВАН",""
"ui.mainscene.runtimeroot_hud_canvas_laboratoryscreen_storagescreen_dropbutton_text_drop",8421105664,"","DROP","","ВЫБРОСИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_background_info_move_moveyesbutton_yes_button",8458854400,"","YES","","ДА",""
"ui.mainscene.runtimeroot_hud_canvas_laboratoryscreen_mapscreen_dronscreen_launchebutton_launche_upgrade",8463048705,"","LAUNCHE","","ЗАПУСК",""
"ui.mainscene.runtimeroot_hud_canvas_laboratoryscreen_mapscreen_antennascreen_info_progresa",8500797440,"","Progress 100%","","Прогресс 100%",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_storagebutton_text_storage",8500797441,"","STORAGE","","ХРАНИЛИЩЕ",""
"ui.mainscene.runtimeroot_hud_canvas_laboratoryscreen_mapscreen_antennascreen_calibrationbutton_calibration_upgrade",8504991744,"","CALIBRATION","","КАЛИБРОВКА",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_storagescreen_dropbutton_text_drop",8504991745,"","DROP","","ВЫБРОСИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_exitbutton_exit",8504991746,"","EXIT","","ВЫХОД",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_stationscreen_background_info_obj_toggle_offbutton_text_off",8509186048,"","OFF","","ВЫКЛ",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_antennascreen_info_progresa",8509186050,"","Progress 100%","","Прогресс 100%",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_librarybutton_text_library",8563712000,"","LIBRARY","","БИБЛИОТЕКА",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_stationbutton_text_station",8563712002,"","STATION","","СТАНЦИЯ",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_antennamapbutton_text_antenna",8563712003,"","ANTENNA","","Антенна",""
"ui.mainscene.runtimeroot_hud_canvas_laboratoryscreen_mapscreen_dronmapbutton_text_dron",8567906304,"","DRON","","ДРОН",""
